danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
0.652,0.751,-7.725,0.041,0.244,0.000327,0.346,0.363,128.022,7HP90XsCBGvdeOQ4aje5EC,267213,3
0.639,0.857,-3.686,0.0525,0.00531,0.0,0.0695,0.455,114.441,1T7qEpxl8NvCRPnfHYNHoH,197267,1
0.679,0.411,-9.814,0.205,0.359,0.00566,0.311,0.466,98.397,7zv8Fey2BaVJe0PomkkA16,162424,6
0.458,0.775,-13.138,0.459,0.85,0.0,0.764,0.873,86.054,64CC1Pq6Xhj83FiqKklHWy,44000,8
0.528,0.695,-4.399,0.0453,0.139,0.0,0.0966,0.334,142.026,31SbrUNQPS93I2ZMwEdLFr,238573,3
0.885,0.678,-9.789,0.22,0.505,2.5e-05,0.0959,0.805,97.711,1oMX1Xx6Xry9CgxCXqDUP5,176600,6
0.694,0.772,-6.298,0.364,0.128,1.51e-06,0.113,0.639,171.977,1pKutUZfThtlEWdvxT1jHV,216454,8
0.772,0.768,-4.52,0.0741,0.0414,0.0,0.0903,0.713,119.959,5Zvzva2gweeEU46XEeeFSa,216400,1
0.75,0.613,-7.622,0.0471,0.439,0.00189,0.0867,0.588,101.984,5oJ4KgYPvIxNwHJcHOQrtS,223667,6
0.951,0.657,-7.206,0.256,0.279,0.0,0.0582,0.36,121.936,4JQtJUR6P1OzcmJ1FE42Sk,174763,8
0.859,0.874,-4.954,0.0339,0.044,0.0,0.229,0.963,124.998,2rkIikKvzKicnXku4nwmSt,207667,1
0.663,0.475,-8.834,0.0417,0.643,0.0,0.122,0.644,143.175,4fXGWiVhlOLdhwRDP6pIFG,191027,6
0.607,0.904,-7.693,0.0435,0.13,0.0,0.134,0.877,146.831,1yzyhrCfdwPgfWixsCELlH,178840,1
0.395,0.0826,-17.767,0.047,0.944,0.4,0.104,0.357,165.886,2j3JabJVVQkttv6HN7OaJM,325200,2
0.462,0.964,-6.593,0.0764,0.0302,0.00906,0.961,0.411,103.358,1SqLFOEl6rUYCfhhDkpHHQ,368560,5
0.596,0.525,-6.994,0.0283,0.0631,0.0,0.348,0.469,120.064,5th3rj1nW25bm5iSLiK3i9,283573,3
0.444,0.835,-4.153,0.151,0.0503,0.0,0.142,0.606,98.459,2fI4MIhtdwQHEr8kfUDorf,198470,1
0.879,0.425,-7.532,0.0611,0.0143,0.0312,0.354,0.482,127.004,3pZk2hGeqHUE1cmrE1ofoR,374794,6
0.458,0.895,-3.972,0.0681,0.000219,0.000394,0.106,0.357,130.327,5u6fnmRO5V0PTl5M2Eekeu,243200,0
0.597,0.408,-11.263,0.0379,0.124,8.31e-05,0.112,0.218,126.071,3SdNvvL8mFmzdLYYPNdLXa,153747,3
0.786,0.938,-4.826,0.0837,0.361,0.0,0.0516,0.875,104.0,3UY4um1h21YkSu7eseqMrK,489561,1
0.719,0.322,-16.703,0.0375,0.00709,0.0,0.0796,0.322,115.67,38AZJO1LnPOWBnGxZTdA58,297064,6
0.603,0.73,-15.905,0.0618,0.0584,0.867,0.112,0.311,126.601,00IkBm3TRmnaM65MiM3Wil,242133,7
0.537,0.847,-6.947,0.0465,0.00873,4.43e-05,0.286,0.763,145.033,5uLqWNjSksioNOEYkp3rPD,203560,0
0.531,0.579,-5.746,0.0415,0.439,0.0,0.086,0.207,76.071,1eyE8XoM9mN4jvp8lI4ukJ,202427,3
0.368,0.935,-3.204,0.0587,0.0111,0.00201,0.0948,0.558,164.425,71D4LseR0RADPbyvMeTIHR,203733,0
0.532,0.916,-3.95,0.0759,0.000184,0.00167,0.0553,0.394,130.488,0bfNhvHNVYs9Z3vkRD9bR0,156467,0
0.0609,0.017,-35.452,0.046,0.973,0.935,0.11,0.0334,58.559,5bewzEbVZweszRyMthCokt,126613,2
0.538,0.851,-7.793,0.0643,0.0108,1.82e-05,0.325,0.66,117.359,6zdMlZyo0XyRNclXyQvVAl,271680,1
0.8,0.723,-9.719,0.158,0.00228,0.0,0.26,0.651,111.593,0gFB5H3pHN13ERt2FyMuWi,300640,1
0.834,0.618,-7.653,0.231,0.00362,2.67e-05,0.126,0.553,135.889,2ya9d4B06EQ8Fpj5SSqiTH,199840,8
0.597,0.666,-6.365,0.0418,0.122,0.00302,0.1,0.626,164.992,6GmkJJMe9U1tEcrJ3Hq3A1,226787,0
0.388,0.778,-5.346,0.242,0.0678,0.0,0.0979,0.371,81.588,7IX1XFoYc8QtGMYUCHG4bm,298573,3
0.707,0.909,-6.303,0.0343,0.278,0.855,0.301,0.589,134.195,5elQX5lbETPmmm91mNsanU,221227,7
0.564,0.76,-5.667,0.0277,0.0676,0.0,0.144,0.528,134.015,4mnuiEDq1ADXUTYWJxLo4B,231693,3
0.828,0.755,-4.116,0.156,0.0202,9.61e-06,0.0625,0.862,108.056,2vTdEBKuXAFi6T0IbRuDff,269147,1
0.601,0.695,-5.811,0.395,0.0213,8.46e-06,0.368,0.306,101.564,6r2jK1A6oFRPREZfxjc5d1,226520,8
0.67,0.531,-7.294,0.0629,0.0366,0.0,0.132,0.186,100.006,07egAPsYgrxjkEnZxs1ePJ,281876,3
0.513,0.658,-6.432,0.0277,0.0329,9.3e-05,0.0805,0.336,177.625,76crWZqaiFzlTPGzNtT4w1,300560,0
0.168,0.581,-8.187,0.0469,0.128,0.0335,0.111,0.12,169.399,5RRMkmkQPGTXtQHVBOe1wR,339867,0
0.817,0.845,-4.234,0.0604,0.503,0.0,0.0766,0.898,123.427,1iZd76gy0IIGQAFh4JVoAE,183373,1
0.235,0.368,-9.529,0.0378,0.0662,0.000469,0.0891,0.0944,74.544,3q25zet6vcCvkkKb2PuJrT,225280,3
0.786,0.627,-11.177,0.0339,0.00737,0.00186,0.181,0.831,126.461,1VKPiQJnV15flF5B3zeocD,312907,1
0.518,0.376,-18.248,0.0431,0.933,0.86,0.0976,0.744,158.089,4qYHnP5AmKzXbJhciPV8si,233560,2
0.46,0.971,-0.894,0.13,0.00288,0.321,0.103,0.504,128.011,4RYxrTxZJjQ1w7poapKcKy,236643,0
0.88,0.564,-6.431,0.0498,0.0786,0.0,0.0565,0.83,99.019,5N0lcnJTtKj4wNDvurHige,225600,1
0.649,0.665,-5.411,0.1,0.249,0.0,0.089,0.506,169.996,31Xa0SpE8683VhZXnJMjjn,239493,0
0.548,0.488,-14.834,0.0318,0.00974,0.000205,0.187,0.269,126.446,3YDIS7k7EfQiJuRSJTQUgS,257600,3
0.819,0.472,-8.018,0.0888,0.106,0.0,0.143,0.358,125.108,0JmMBsV5WUjNYU34U07fBN,203320,6
0.816,0.909,-9.127,0.0396,0.469,0.015,0.332,0.91,94.04,1cm0T4HV7oJw343AT9N2Z8,266840,1
0.872,0.857,-7.287,0.257,0.574,0.0,0.0568,0.925,111.01,1qb27ZTsi0gVxHteAjPOyD,877040,8
0.423,0.948,-3.907,0.0911,0.0304,0.000711,0.102,0.327,165.044,1t0RvoSeybgrk55g9lwC4Z,405920,0
0.746,0.441,-12.626,0.33,0.256,1.44e-05,0.272,0.683,155.204,2sNveyAGVNFZAL8yRMwTN0,169587,8
0.562,0.865,-6.476,0.0922,2.06e-05,0.591,0.219,0.35,124.047,2Q6bndA2CeuoWUnErmWmmA,205973,7
0.656,0.689,-7.454,0.0768,2.81e-05,0.281,0.303,0.106,125.135,1b2nsmCOdXQQ5qy5geokbr,350213,3
0.564,0.829,-4.469,0.195,0.0124,2.45e-06,0.23,0.518,114.919,3s1FZdlTy5kRBtxWaEOZ2y,167089,1
0.566,0.777,-6.19,0.0505,0.622,0.758,0.0985,0.341,134.014,48YPDmhRIQRiusm5uCz5gX,282547,7
0.82,0.407,-8.255,0.0582,0.734,0.0,0.313,0.943,111.133,5Q2QKpi3rMP2Dlteq9aMGU,354867,6
0.924,0.55,-6.402,0.252,0.00213,4.34e-05,0.101,0.298,139.992,2KmFKaUoWcteeDobI68uka,185391,8
0.711,0.686,-6.484,0.0286,0.176,1.96e-05,0.0791,0.57,125.373,2BjUvisO4UVAtTHs4lYiqu,291640,1
0.215,0.871,-5.496,0.0547,0.000393,0.0169,0.293,0.45,76.433,4xkVeoz7cqTBZkOTNtFEbG,194619,3
0.52,0.326,-14.803,0.042,0.843,0.904,0.0624,0.336,119.977,7G2JFDHdTYPSvlXjkirHJh,388827,2
0.33,0.469,-9.286,0.0335,0.31,2.3e-06,0.0402,0.433,201.327,2OgVsp77En2nju8pnCieVU,292067,0
0.788,0.561,-13.916,0.0503,0.143,0.801,0.111,0.0427,124.987,2umlM21FKMtjpuqrerNb5V,463922,7
