danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,cluster
0.926,0.336,-9.326,0.594,0.0392,0.0,0.138,0.38,92.995,39hnH8WdPmNT3Q3yzwC9Rg,196600,8
0.927,0.535,-7.59,0.0911,0.0855,0.0,0.136,0.336,112.96,2yJ9GVCLMmzBBfQAnfzlwr,313573,3
0.929,0.339,-10.881,0.371,0.0373,1.96e-05,0.187,0.273,98.986,0srwKuJPH8yBzzFUJMBQM2,203200,8
0.905,0.782,-3.604,0.164,0.096,0.0,0.0623,0.798,96.055,4P6BuLsqtg5uISdE77ypI9,211293,1
0.676,0.415,-9.752,0.508,0.0281,0.0,0.0915,0.146,193.206,1uDjaezEbalGyGnuH80zDK,233507,8
0.856,0.527,-5.225,0.0997,0.392,0.0,0.11,0.386,98.052,0Dc7J9VPV4eOInoxUiZrsL,266840,6
0.681,0.462,-6.869,0.194,0.0968,0.0,0.22,0.751,171.127,27PmKcvsjXp7G1IQgLUkYY,235600,0
0.67,0.515,-6.977,0.397,0.0705,0.0,0.25,0.422,122.006,4kNvYhyl8R6m1vykVkcuBu,270867,8
0.853,0.693,-6.87,0.275,0.0239,0.0,0.11,0.662,95.967,4X5f3vT8MRuXF68pfjNte5,233787,8
0.614,0.574,-7.961,0.466,0.0253,3.2e-05,0.38,0.755,125.173,3VzJE6yGuj8fDExUh6TLnc,209107,8
0.487,0.729,-6.815,0.271,0.0538,4.07e-06,0.44,0.217,91.048,439TlnnznSiBbQbgXiBqAd,350120,8
0.713,0.526,-5.046,0.032,0.00767,0.000148,0.124,0.131,131.05,1wHZx0LgzFHyeIZkUydNXq,262693,3
0.763,0.627,-7.457,0.037,0.031,0.0,0.118,0.152,101.045,5KY7zgFeH2GWoL1zP9mME6,334093,3
0.874,0.706,-5.132,0.207,0.182,0.0,0.334,0.895,89.961,2n5gVJ9fzeX2SSWlLQuyS9,216248,1
0.611,0.543,-5.288,0.0672,0.329,0.0,0.281,0.561,174.862,5MGeW5mHnqeJiM0NPBbkEZ,189000,0
0.816,0.578,-4.536,0.0986,0.0136,1.2e-05,0.0412,0.302,177.959,2iDjCLUOGhJtz5cPHljGVd,166707,0
0.794,0.51,-7.314,0.42,0.0505,1.81e-06,0.0562,0.18,167.879,19gEmPjfqSZT0ulDRfjl0m,194561,8
0.624,0.723,-6.782,0.378,0.172,0.0,0.483,0.757,84.789,3bMNprrp2JDKZsGbiXpsJl,216933,8
0.841,0.733,-5.077,0.142,0.0246,0.0,0.174,0.284,130.009,7xVLFuuYdAvcTfcP3IG3dS,283693,3
0.897,0.642,-8.828,0.0534,0.0219,1.31e-06,0.159,0.291,127.984,5suEtW2DUAfvroohjzgatb,285240,3
0.875,0.673,-4.184,0.0932,0.135,0.0,0.292,0.231,130.0,376KnY4TrgBITxjlnbnmIy,222600,3
0.86,0.719,-4.325,0.33,0.125,0.0,0.0799,0.496,160.049,6qMXubogFdMrvVMJwqATzd,207912,8
0.899,0.504,-6.758,0.5,0.826,0.0,0.052,0.537,129.89,22DKsoYFV5npPXmnPpXL7i,207813,8
0.852,0.553,-7.286,0.187,0.0559,0.0,0.332,0.656,142.079,27GmP9AWRs744SzKcpJsTZ,205879,8
0.75,0.491,-8.326,0.117,0.0898,0.0,0.109,0.711,105.008,70mIuBKGTPrWMwWq9D4F56,187671,6
0.414,0.807,-4.12,0.348,0.0428,0.0,0.822,0.409,175.158,7Ezwtgfw7khBrpvaNPtMoT,191901,5
0.675,0.562,-7.678,0.0352,0.233,0.0,0.0816,0.309,130.098,6eT7xZZlB2mwyzJ2sUKG6w,256533,3
0.835,0.413,-9.81,0.396,0.373,0.00133,0.101,0.111,149.004,6fwdbPMwP1zVStm8FybmkO,258880,8
0.865,0.687,-3.744,0.217,0.242,0.0,0.158,0.486,139.023,7KOlJ92bu51cltsD9KU5I7,242407,8
0.711,0.739,-3.804,0.129,0.114,0.0,0.226,0.43,136.919,20dP2DaMHIAmwWAbp7peSr,252256,1
0.497,0.489,-7.724,0.294,0.0576,9.91e-05,0.122,0.231,171.853,4Q3N4Ct4zCuIHuZ65E3BD4,268187,8
0.943,0.595,-8.372,0.191,0.0673,0.0,0.0839,0.815,117.532,34oWbFBfGEElvgO0a5c9V4,165291,1
0.884,0.347,-8.227,0.35,0.015,7e-06,0.0871,0.376,75.016,2fQrGHiQOvpL9UgPvtYy6G,220307,8
0.91,0.444,-8.126,0.344,0.022,0.0,0.137,0.53,149.953,4knL4iPxPOZjQzTUlELGSY,276333,8
0.785,0.62,-6.667,0.254,0.0138,0.0,0.15,0.478,78.477,59J5nzL1KniFHnU120dQzt,235535,8
0.812,0.628,-6.164,0.0682,0.0634,0.0,0.254,0.485,123.004,4ntsD33Pgsgk8rUyZLLiUV,207059,1
0.888,0.632,-3.872,0.219,0.19,0.0,0.101,0.662,91.979,2NBQmPrOEEjA8VbeWOQGxO,266067,8
0.939,0.742,-5.171,0.0467,0.321,0.0,0.107,0.924,118.978,2kQuhkFX7uSVepCD3h29g5,212360,1
0.693,0.547,-8.127,0.114,0.0111,0.0,0.0677,0.612,80.028,4gFXY5yvHayGckJndafYQE,227960,1
0.575,0.684,-6.007,0.325,0.299,0.0,0.614,0.926,172.155,0DdpxWfVvUGgkJv5536tiF,204040,5
0.956,0.745,-4.753,0.12,0.206,0.0,0.0615,0.912,107.075,04KTF78FFg8sOHC1BADqbY,228240,1
0.508,0.763,-5.674,0.303,0.0627,0.0,0.347,0.275,161.59,4zGvb8hxGLB2jEPRFiRRqw,192947,8
0.657,0.885,-4.695,0.0344,0.0168,0.0,0.147,0.869,105.011,3xqF04FdMK7gpIPG3SPFpY,237987,1
0.482,0.8,-9.278,0.0916,0.0569,0.00223,0.387,0.569,158.81,0wzABO1igQsSy8cQ7dIeHK,202267,0
0.635,0.435,-7.521,0.031,0.00328,6.78e-06,0.071,0.459,76.098,4YPhn26bIFm2KUkL1VLzQG,256880,3
0.471,0.924,-3.906,0.0586,0.00301,0.0,0.313,0.725,154.961,2iUmqdfGZcHIhS3b9E9EWq,177280,0
0.356,0.924,-3.74,0.0808,0.00101,0.0,0.0953,0.232,148.017,7oK9VyNzrYvRFo7nQEYkWN,222587,0
0.604,0.825,-5.373,0.0429,0.0564,5.8e-05,0.192,0.707,144.085,5JtPGzRgrWxkXX9LoROq3d,193107,1
0.864,0.495,-7.036,0.037,0.591,0.000133,0.0992,0.72,129.062,4wCmqSrbyCgxEXROQE6vtV,244973,6
0.672,0.738,-7.045,0.0506,0.0178,6.75e-05,0.0927,0.392,107.938,67WTwafOMgegV6ABnBQxcE,277040,3
0.57,0.798,-4.92,0.0323,0.102,0.000128,0.178,0.671,103.303,57i3M29DWoo7RDk0Tf0LZG,171333,1
0.52,0.791,-4.247,0.0378,0.0104,0.0,0.106,0.19,107.487,7aliOjqVEBd3ZZ8NMkuifd,277637,3
0.56,0.936,-5.835,0.0439,0.00847,0.0,0.161,0.371,112.96,0GO8y8jQk1PkHzS31d699N,218013,3
0.58,0.953,-3.856,0.0614,0.00261,0.0,0.218,0.673,103.041,1SLikaDhWhhhnLJC58bkFI,276320,1
0.668,0.951,-3.453,0.0784,0.0324,0.0,0.338,0.826,113.986,7yMnml7zdYl5LlDFZPm5Hd,175093,1
0.659,0.869,-5.858,0.046,0.00357,0.0,0.302,0.811,106.966,1TfAhjzRBWzYZ8IdUV3igl,201960,1
0.638,0.832,-5.039,0.049,0.141,0.0,0.113,0.648,124.071,1mXuMM6zjPgjL4asbBsgnt,227893,1
0.729,0.756,-5.119,0.0294,0.131,0.0,0.0527,0.522,104.945,1CkvWZme3pRgbzaxZnTl5X,228293,1
0.559,0.777,-5.031,0.0432,0.31,0.0,0.105,0.329,87.016,0xMd5bcWTbyXS7wPrBtZA6,231212,3
0.903,0.62,-8.094,0.0587,0.00347,0.000119,0.0504,0.539,134.96,2FBUoWkIuQXwayw2RNo5l6,267067,1
0.775,0.68,-5.508,0.0629,0.00906,0.0,0.109,0.656,114.025,7oGZAicScQt96OAW4AruYy,207719,1
0.845,0.567,-8.118,0.0956,0.59,0.00142,0.0811,0.793,125.02,3pzjHKrQSvXGHQ98dx18HI,205680,6
0.814,0.482,-10.493,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,4efoEY8iDBzUqitjmNDhpN,180267,6
0.578,0.866,-3.804,0.0619,0.00701,0.0,0.257,0.619,128.038,4kbj5MwxO1bq9wjT5g9HaA,199080,1
0.893,0.48,-3.728,0.356,0.00855,0.0,0.116,0.382,86.976,5lFDtgWsjRJu8fPOAyJIAK,170638,8
0.823,0.563,-5.095,0.0443,0.0399,0.0,0.0851,0.682,98.031,0k6DnZMLoEUH8NGD5zh2SE,225227,1
0.746,0.754,-6.681,0.067,0.0152,0.0,0.0486,0.764,149.882,1WP1r7fuvRqZRnUaTi2I1Q,206880,1
0.609,0.378,-9.828,0.438,0.835,0.0,0.28,0.515,100.418,3hB5DgAiMAQ4DzYbsMq1IT,233720,8
0.654,0.76,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945,69bp2EbF7Q2rqc5N3ylezZ,200787,3
0.481,0.451,-6.095,0.0347,0.336,0.0,0.0872,0.289,157.966,4sPmO7WMQUAf45kwMOtONw,295493,0
0.716,0.806,-7.602,0.0466,0.0361,0.00413,0.244,0.347,100.033,6O6M7pJLABmfBRoGZMu76Y,225800,3
0.704,0.634,-7.374,0.0428,0.393,3.17e-05,0.0952,0.411,113.927,1I8tHoNBFTuoJAlh4hfVVE,271640,6
0.776,0.662,-7.016,0.0489,0.00157,2.1e-05,0.0887,0.324,152.927,1LxKKYsJNPeBdOwdudsJzv,182733,3
0.566,0.713,-4.25,0.0417,0.645,0.0,0.114,0.807,169.864,4dGJf1SER1T6ooX46vwzRB,238147,0
0.715,0.584,-8.231,0.0296,0.432,1.41e-06,0.095,0.61,90.987,1yEwEiTpsaPhQi9lb5EVV4,203173,6
0.8,0.759,-5.398,0.0378,0.655,0.0,0.0897,0.821,129.979,5kjyiH6but1t2UDXq15aeS,262773,6
0.661,0.751,-2.909,0.0481,0.0571,0.0,0.105,0.875,109.995,5HGibWoxnkYSkl6mHmAlOE,190187,1
0.597,0.605,-12.013,0.0255,0.181,0.000331,0.118,0.886,97.782,4CJVkjo5WpmUAKp3R44LNb,281147,6
0.7,0.864,-3.629,0.0283,0.0212,0.0,0.0956,0.887,102.997,5rX6C5QVvvZB7XckETNych,297587,1
0.654,0.81,-6.26,0.0288,0.00719,0.00251,0.165,0.661,114.623,2MLHyLy5z5l5YRp7momlgw,200307,1
0.87,0.699,-5.541,0.0459,0.245,6.76e-06,0.0588,0.726,126.967,3iVAyrTlbWGBq0laeQ18z2,198440,1
0.829,0.51,-9.334,0.0369,0.00821,0.0014,0.0829,0.45,119.993,5Sf3GyLEAzJXxZ5mbCPXTu,208133,6
0.537,0.66,-7.174,0.0296,0.455,0.0,0.135,0.574,148.096,3xdjjKMcMOFgo1eQrfbogM,298373,0
0.545,0.675,-6.474,0.0279,0.00617,0.00197,0.209,0.162,124.97,0FDzzruyVECATHXKHFs9eJ,267867,3
0.531,0.821,-6.812,0.0439,0.0701,0.171,0.124,0.34,129.139,5RoIXwyTCdyUjpMMkk4uPd,230800,3
0.558,0.872,-4.401,0.0449,0.178,0.0,0.173,0.472,143.971,3b7CDTKB0SRTmQ6ytYi5vZ,213547,0
0.67,0.753,-5.058,0.0383,0.0208,2.71e-06,0.147,0.555,90.385,2Z2vOukzwOgqR4dkymRSWd,183160,1
